% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2024
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2024 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2024, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199310	  0.00044278	  0.01583790	  0.04276914	
199311	  0.00701516	  0.02202161	  0.04920888	
199312	  0.04816587	  0.03049098	  0.01650241	
199401	  0.03945276	  0.07196433	 -0.00248060	
199402	 -0.05118445	 -0.03845667	  0.00783604	
199403	 -0.01754396	 -0.01014112	  0.02580671	
199404	 -0.07560252	 -0.05258248	  0.00559831	
199405	 -0.04147084	 -0.00201787	  0.03150225	
199406	 -0.07876295	 -0.03729523	 -0.00198332	
199407	  0.01170539	  0.06146645	 -0.00750660	
199408	 -0.01712680	  0.03450993	  0.00548321	
199409	  0.02057847	  0.01605439	  0.03119027	
199410	  0.02948730	  0.03298239	  0.00973093	
199411	 -0.01550632	 -0.04525139	 -0.02160148	
199412	 -0.03463670	 -0.01115863	  0.01930035	
199501	  0.02206376	  0.06067762	 -0.03140997	
199502	  0.02359710	  0.02428127	 -0.02663006	
199503	  0.00997819	 -0.01137349	  0.00982348	
199504	  0.03159925	  0.05191666	  0.00352130	
199505	  0.00549143	  0.01082547	 -0.01164138	
199506	 -0.02606348	 -0.03546951	 -0.00567392	
199507	 -0.00492064	  0.01130691	  0.03964738	
199508	 -0.00307188	  0.01973367	 -0.02143166	
199509	 -0.02972287	 -0.02577246	 -0.07656433	
199510	 -0.00932857	  0.00541061	  0.03771907	
199511	  0.03077631	  0.05764781	  0.00909125	
199512	 -0.06585245	 -0.02968080	 -0.01612119	
199601	 -0.02406434	 -0.00909366	  0.02844004	
199602	  0.02437573	  0.07068240	  0.00972366	
199603	 -0.05199297	 -0.04528190	 -0.01150870	
199604	 -0.02575227	  0.01783443	 -0.03253059	
199605	  0.01231148	  0.02253959	 -0.01003411	
199606	 -0.01043212	 -0.01041088	 -0.04781987	
199607	 -0.03805748	 -0.01424983	 -0.03935225	
199608	  0.06257863	  0.09053982	  0.00714965	
199609	 -0.00121021	 -0.01735940	 -0.03213671	
199610	 -0.01304670	 -0.03469791	 -0.02175363	
199611	 -0.00762509	 -0.01171165	  0.02343186	
199612	  0.01491773	  0.02539782	 -0.02166792	
199701	 -0.01805470	  0.04964652	 -0.02417095	
199702	  0.00010695	 -0.01799772	 -0.03118169	
199703	 -0.00914433	  0.01683879	  0.01400754	
199704	  0.01870290	  0.02087710	  0.08876939	
199705	  0.02624563	  0.04240225	  0.00672225	
199706	 -0.00984361	 -0.00536200	  0.00657488	
199707	 -0.00843406	  0.00210349	  0.01838978	
199708	 -0.05685736	 -0.01119356	 -0.01273881	
199709	 -0.02726881	  0.03232704	 -0.01390388	
199710	 -0.17045339	 -0.11134812	  0.01508663	
199711	  0.02225625	  0.06956103	  0.07442238	
199712	 -0.02601744	  0.02850598	  0.03653999	
199801	 -0.04385878	 -0.07300247	  0.02357964	
199802	 -0.12011072	  0.00023330	  0.07538767	
199803	 -0.05901035	 -0.01115182	 -0.03254065	
199804	  0.04140759	  0.09418268	  0.00497198	
199805	  0.00691948	  0.01335089	 -0.00767628	
199806	 -0.04217002	 -0.02944033	  0.02194740	
199807	 -0.05127160	  0.00564985	  0.00792674	
199808	 -0.05158333	  0.01008812	 -0.03482823	
199809	 -0.27408101	 -0.25815017	  0.05509535	
199810	 -0.04391960	  0.05602135	  0.00950975	
199811	  0.04820277	  0.11293176	  0.00163953	
199812	 -0.14833407	 -0.10713248	  0.04828456	
199901	  0.06342531	  0.06562216	  0.05095578	
199902	 -0.08654181	 -0.06337234	  0.02054718	
199903	 -0.06150471	 -0.00556139	 -0.00332609	
199904	  0.19802355	  0.27666279	  0.08767822	
199905	 -0.13408331	 -0.13908120	 -0.00719636	
199906	  0.05855012	  0.06355447	  0.04269869	
199907	  0.06703473	  0.05356661	 -0.01601707	
199908	  0.05135435	 -0.01245227	 -0.00438140	
199909	 -0.04828547	 -0.07295774	 -0.03079376	
199910	  0.09828173	  0.08417783	  0.09079864	
199911	 -0.00169317	 -0.03808621	 -0.01671316	
199912	 -0.07442397	 -0.08063252	  0.04501071	
200001	 -0.06743720	 -0.04481288	  0.01096611	
200002	 -0.04172311	 -0.01416374	  0.00889955	
200003	 -0.00618156	  0.10960477	 -0.00154299	
