YYYYMM,MKTRF,SMB,MGMT,PERF,RF
199403,-0.047800,0.0001224747,0.0274885414,-0.002146455,0.00270
199404,0.006800,-0.006582842,0.0094021965,-0.008405212,0.00270
199405,0.005800,-0.013481628,0.0231548891,-0.044251167,0.00310
199406,-0.030300,0.0078471923,0.038054794,-0.016662516,0.00310
199407,0.028200,-0.022425946,0.0070869714,-0.000980793,0.00280
199408,0.040100,0.0215976278,-0.035288956,0.034970781,0.00370
199409,-0.023100,0.0372687008,0.008927092,0.0353549992,0.00370
199410,0.013400,-0.005662668,-0.004832778,0.0455441937,0.00380
199411,-0.040400,0.0076149573,0.0005509485,0.0281743798,0.00370
199412,0.008600,0.0007002544,0.0119227723,0.0213106428,0.00440
199501,0.018000,-0.029075357,0.0101010018,-0.01928484,0.00420
199502,0.036300,-0.001329367,-0.002609692,-0.015807673,0.00400
199503,0.021900,-0.00485749,-0.000788881,0.0222256167,0.00460
199504,0.021100,0.0064875157,0.0177789916,-0.003072607,0.00440
199505,0.029000,-0.025148551,0.0231914798,-0.028655625,0.00540
199506,0.027200,0.0157380648,-0.037411318,0.0312932313,0.00470
199507,0.037200,0.0137041886,-0.036759645,0.0254615146,0.00450
199508,0.005500,0.0223660768,0.0203075917,-0.044629741,0.00470
199509,0.033500,-0.017581674,0.0157113088,0.0097143268,0.00430
199510,-0.015200,-0.028142471,0.0388193002,0.0510380296,0.00470
199511,0.039600,-0.011130771,0.0131570669,-0.00610311,0.00420
199512,0.010300,0.0022561014,0.0402184492,-0.015864639,0.00490
199601,0.022600,-0.015197594,0.0258524404,-0.02690858,0.00430
199602,0.013300,0.0265611127,-0.018708325,0.0322683361,0.00390
199603,0.007300,0.0034226468,0.0034085153,0.0012650946,0.00390
199604,0.020600,0.0276555872,-0.060907129,0.0326440595,0.00460
199605,0.023600,0.0167418545,-0.008881892,0.0231231089,0.00420
199606,-0.011400,-0.020007571,0.0462452041,0.0008709121,0.00400
199607,-0.059700,-0.015578781,0.0648373177,0.0122612125,0.00450
199608,0.027700,0.0222493046,-0.037854236,-0.006395874,0.00410
199609,0.050100,-0.010242902,-0.021434574,0.0200646125,0.00440
